,NumberOfFatomsOnSameCarbon,NMR_Peak,SMILES,Compound name,Sovelnt_used_for_NMR
4_From_Review_390,2,-85,COC(F)(F)C(F)C(F)(F)F,"1,1,1,2,3,3-hexafluoro-3-methoxypropane",CDCl3
6_From_Review_390,1,-212,COC(F)(F)C(F)C(F)(F)F,"1,1,1,2,3,3-hexafluoro-3-methoxypropane",CDCl3
8_From_Review_390,3,-76,COC(F)(F)C(F)C(F)(F)F,"1,1,1,2,3,3-hexafluoro-3-methoxypropane",CDCl3
9_From_Review_390,3,-76,COC(F)(F)C(F)C(F)(F)F,"1,1,1,2,3,3-hexafluoro-3-methoxypropane",CDCl3
10_From_Review_390,3,-76,COC(F)(F)C(F)C(F)(F)F,"1,1,1,2,3,3-hexafluoro-3-methoxypropane",CDCl3
5_From_Review_391,2,-83,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
6_From_Review_391,2,-83,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
8_From_Review_391,1,-207,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
10_From_Review_391,3,-79,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
11_From_Review_391,3,-79,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
12_From_Review_391,3,-79,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
14_From_Review_391,3,-77,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
15_From_Review_391,3,-77,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
16_From_Review_391,3,-77,O=C(CSC(F)(F)C(F)C(F)(F)F)C(F)(F)F,"1,1,1-trifluoro-3-((1,1,2,3,3,3-hexafluoropropyl)thio)propan-2-one",CDCl3
5_From_Review_392,2,-123.1,CC(C)(O)C(F)(F)C(F)C(F)(F)F,"3,3,4,5,5,5-hexafluoro-2-methylpentan-2-ol",CDCl3
6_From_Review_392,2,-123.1,CC(C)(O)C(F)(F)C(F)C(F)(F)F,"3,3,4,5,5,5-hexafluoro-2-methylpentan-2-ol",CDCl3
8_From_Review_392,1,-206,CC(C)(O)C(F)(F)C(F)C(F)(F)F,"3,3,4,5,5,5-hexafluoro-2-methylpentan-2-ol",CDCl3
10_From_Review_392,3,-73,CC(C)(O)C(F)(F)C(F)C(F)(F)F,"3,3,4,5,5,5-hexafluoro-2-methylpentan-2-ol",CDCl3
11_From_Review_392,3,-73,CC(C)(O)C(F)(F)C(F)C(F)(F)F,"3,3,4,5,5,5-hexafluoro-2-methylpentan-2-ol",CDCl3
12_From_Review_392,3,-73,CC(C)(O)C(F)(F)C(F)C(F)(F)F,"3,3,4,5,5,5-hexafluoro-2-methylpentan-2-ol",CDCl3
4_From_Review_393,2,-115,C=CCC(F)(F)C(F)(F)C(F)F,"4,4,5,5,6,6-hexafluorohex-1-ene",CDCl3
5_From_Review_393,2,-115,C=CCC(F)(F)C(F)(F)C(F)F,"4,4,5,5,6,6-hexafluorohex-1-ene",CDCl3
7_From_Review_393,2,-132,C=CCC(F)(F)C(F)(F)C(F)F,"4,4,5,5,6,6-hexafluorohex-1-ene",CDCl3
8_From_Review_393,2,-132,C=CCC(F)(F)C(F)(F)C(F)F,"4,4,5,5,6,6-hexafluorohex-1-ene",CDCl3
10_From_Review_393,2,-138,C=CCC(F)(F)C(F)(F)C(F)F,"4,4,5,5,6,6-hexafluorohex-1-ene",CDCl3
11_From_Review_393,2,-138,C=CCC(F)(F)C(F)(F)C(F)F,"4,4,5,5,6,6-hexafluorohex-1-ene",CDCl3
0_From_Review_394,2,-118,FC1(F)CCCC(F)(F)C1(F)F,"1,1,2,2,3,3-hexafluorocyclohexane",CDCl3
2_From_Review_394,2,-118,FC1(F)CCCC(F)(F)C1(F)F,"1,1,2,2,3,3-hexafluorocyclohexane",CDCl3
7_From_Review_394,2,-118,FC1(F)CCCC(F)(F)C1(F)F,"1,1,2,2,3,3-hexafluorocyclohexane",CDCl3
8_From_Review_394,2,-118,FC1(F)CCCC(F)(F)C1(F)F,"1,1,2,2,3,3-hexafluorocyclohexane",CDCl3
10_From_Review_394,2,-139,FC1(F)CCCC(F)(F)C1(F)F,"1,1,2,2,3,3-hexafluorocyclohexane",CDCl3
11_From_Review_394,2,-139,FC1(F)CCCC(F)(F)C1(F)F,"1,1,2,2,3,3-hexafluorocyclohexane",CDCl3
0_From_Review_395,2,-118,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
2_From_Review_395,2,-118,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
6_From_Review_395,2,-118,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
7_From_Review_395,2,-118,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
9_From_Review_395,2,-135,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
10_From_Review_395,2,-135,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
12_From_Review_395,2,-135,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
13_From_Review_395,2,-135,FC1(F)CCC(F)(F)C(F)(F)C1(F)F,"1,1,2,2,3,3,4,4-octafluorocyclohexane",CDCl3
0_From_Review_396,2,-159,FC1(F)C(F)(F)C1(F)F,perfluorocyclopropane,CDCl3
2_From_Review_396,2,-159,FC1(F)C(F)(F)C1(F)F,perfluorocyclopropane,CDCl3
4_From_Review_396,2,-159,FC1(F)C(F)(F)C1(F)F,perfluorocyclopropane,CDCl3
5_From_Review_396,2,-159,FC1(F)C(F)(F)C1(F)F,perfluorocyclopropane,CDCl3
7_From_Review_396,2,-159,FC1(F)C(F)(F)C1(F)F,perfluorocyclopropane,CDCl3
8_From_Review_396,2,-159,FC1(F)C(F)(F)C1(F)F,perfluorocyclopropane,CDCl3
4_From_Review_397,3,-75,COC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-methoxypropane",CDCl3
5_From_Review_397,3,-75,COC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-methoxypropane",CDCl3
6_From_Review_397,3,-75,COC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-methoxypropane",CDCl3
8_From_Review_397,3,-75,COC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-methoxypropane",CDCl3
9_From_Review_397,3,-75,COC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-methoxypropane",CDCl3
10_From_Review_397,3,-75,COC(C(F)(F)F)C(F)(F)F,"1,1,1,3,3,3-hexafluoro-2-methoxypropane",CDCl3
0_From_Review_398,3,-65,FC(F)(F)C(c1ccccc1)C(F)(F)F,"(1,1,1,3,3,3-hexafluoropropan-2-yl)benzene",CDCl3
2_From_Review_398,3,-65,FC(F)(F)C(c1ccccc1)C(F)(F)F,"(1,1,1,3,3,3-hexafluoropropan-2-yl)benzene",CDCl3
3_From_Review_398,3,-65,FC(F)(F)C(c1ccccc1)C(F)(F)F,"(1,1,1,3,3,3-hexafluoropropan-2-yl)benzene",CDCl3
12_From_Review_398,3,-65,FC(F)(F)C(c1ccccc1)C(F)(F)F,"(1,1,1,3,3,3-hexafluoropropan-2-yl)benzene",CDCl3
13_From_Review_398,3,-65,FC(F)(F)C(c1ccccc1)C(F)(F)F,"(1,1,1,3,3,3-hexafluoropropan-2-yl)benzene",CDCl3
14_From_Review_398,3,-65,FC(F)(F)C(c1ccccc1)C(F)(F)F,"(1,1,1,3,3,3-hexafluoropropan-2-yl)benzene",CDCl3
3_From_Review_399,2,-90,COC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",CDCl3
4_From_Review_399,2,-90,COC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",CDCl3
6_From_Review_399,3,-130,COC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",CDCl3
7_From_Review_399,3,-130,COC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",CDCl3
9_From_Review_399,3,-82,COC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",CDCl3
10_From_Review_399,2,-82,COC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",CDCl3
11_From_Review_399,2,-82,COC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",CDCl3
7_From_Review_400,2,-88,Cc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,(perfluoropropyl)(p-tolyl)sulfane,CDCl3
8_From_Review_400,2,-88,Cc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,(perfluoropropyl)(p-tolyl)sulfane,CDCl3
10_From_Review_400,2,-123,Cc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,(perfluoropropyl)(p-tolyl)sulfane,CDCl3
11_From_Review_400,2,-123,Cc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,(perfluoropropyl)(p-tolyl)sulfane,CDCl3
13_From_Review_400,3,-80,Cc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,(perfluoropropyl)(p-tolyl)sulfane,CDCl3
14_From_Review_400,3,-80,Cc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,(perfluoropropyl)(p-tolyl)sulfane,CDCl3
15_From_Review_400,3,-80,Cc1ccc(SC(F)(F)C(F)(F)C(F)(F)F)cc1,(perfluoropropyl)(p-tolyl)sulfane,CDCl3
13_From_Review_401,2,-116,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoropentadecane",CDCl3
14_From_Review_401,2,-116,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoropentadecane",CDCl3
16_From_Review_401,2,-128,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoropentadecane",CDCl3
17_From_Review_401,2,-128,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoropentadecane",CDCl3
19_From_Review_401,3,-81,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoropentadecane",CDCl3
20_From_Review_401,3,-81,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoropentadecane",CDCl3
21_From_Review_401,3,-81,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3-heptafluoropentadecane",CDCl3
3_From_Review_402,2,-122,OCC(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",CDCl3
4_From_Review_402,2,-122,OCC(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",CDCl3
6_From_Review_402,2,-128,OCC(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",CDCl3
7_From_Review_402,2,-128,OCC(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",CDCl3
9_From_Review_402,3,-81,OCC(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",CDCl3
10_From_Review_402,3,-81,OCC(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",CDCl3
11_From_Review_402,3,-81,OCC(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutan-1-ol",CDCl3
4_From_Review_403,2,-118,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutanoic acid",CDCl3
5_From_Review_403,2,-118,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutanoic acid",CDCl3
7_From_Review_403,2,-122,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutanoic acid",CDCl3
8_From_Review_403,2,-122,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutanoic acid",CDCl3
10_From_Review_403,3,-81,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutanoic acid",CDCl3
11_From_Review_403,3,-81,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutanoic acid",CDCl3
12_From_Review_403,3,-81,O=C(O)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,4-heptafluorobutanoic acid",CDCl3
11_From_Review_404,2,-110,CCOC(=O)C(C)(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,"2-(ethoxycarbonyl)-3,3,4,4,5,5,5-heptafluoro-2-methylpentanoic acid",CDCl3
12_From_Review_404,2,-110,CCOC(=O)C(C)(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,"2-(ethoxycarbonyl)-3,3,4,4,5,5,5-heptafluoro-2-methylpentanoic acid",CDCl3
14_From_Review_404,2,-121,CCOC(=O)C(C)(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,"2-(ethoxycarbonyl)-3,3,4,4,5,5,5-heptafluoro-2-methylpentanoic acid",CDCl3
15_From_Review_404,2,-121,CCOC(=O)C(C)(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,"2-(ethoxycarbonyl)-3,3,4,4,5,5,5-heptafluoro-2-methylpentanoic acid",CDCl3
17_From_Review_404,3,-82,CCOC(=O)C(C)(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,"2-(ethoxycarbonyl)-3,3,4,4,5,5,5-heptafluoro-2-methylpentanoic acid",CDCl3
18_From_Review_404,3,-82,CCOC(=O)C(C)(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,"2-(ethoxycarbonyl)-3,3,4,4,5,5,5-heptafluoro-2-methylpentanoic acid",CDCl3
19_From_Review_404,3,-82,CCOC(=O)C(C)(C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,"2-(ethoxycarbonyl)-3,3,4,4,5,5,5-heptafluoro-2-methylpentanoic acid",CDCl3
0_From_Review_405,2,-81,FC(F)(F)C(F)(F)C(F)(F)C#Cc1ccccc1,(perfluoropent-1-yn-1-yl)benzene,CDCl3
2_From_Review_405,2,-81,FC(F)(F)C(F)(F)C(F)(F)C#Cc1ccccc1,(perfluoropent-1-yn-1-yl)benzene,CDCl3
3_From_Review_405,2,-81,FC(F)(F)C(F)(F)C(F)(F)C#Cc1ccccc1,(perfluoropent-1-yn-1-yl)benzene,CDCl3
5_From_Review_405,2,-127,FC(F)(F)C(F)(F)C(F)(F)C#Cc1ccccc1,(perfluoropent-1-yn-1-yl)benzene,CDCl3
6_From_Review_405,3,-127,FC(F)(F)C(F)(F)C(F)(F)C#Cc1ccccc1,(perfluoropent-1-yn-1-yl)benzene,CDCl3
8_From_Review_405,3,-99,FC(F)(F)C(F)(F)C(F)(F)C#Cc1ccccc1,(perfluoropent-1-yn-1-yl)benzene,CDCl3
9_From_Review_405,3,-99,FC(F)(F)C(F)(F)C(F)(F)C#Cc1ccccc1,(perfluoropent-1-yn-1-yl)benzene,CDCl3
3_From_Review_406,1,-145,COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",CDCl3
5_From_Review_406,3,-79,COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",CDCl3
6_From_Review_406,3,-79,COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",CDCl3
7_From_Review_406,3,-79,COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",CDCl3
9_From_Review_406,3,-79,COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",CDCl3
10_From_Review_406,3,-79,COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",CDCl3
11_From_Review_406,3,-79,COC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane",CDCl3
3_From_Review_407,1,-186,CCC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethyl)butane",CDCl3
5_From_Review_407,3,-77,CCC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethyl)butane",CDCl3
6_From_Review_407,3,-77,CCC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethyl)butane",CDCl3
7_From_Review_407,3,-77,CCC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethyl)butane",CDCl3
9_From_Review_407,3,-77,CCC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethyl)butane",CDCl3
10_From_Review_407,3,-77,CCC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethyl)butane",CDCl3
11_From_Review_407,3,-77,CCC(F)(C(F)(F)F)C(F)(F)F,"1,1,1,2-tetrafluoro-2-(trifluoromethyl)butane",CDCl3
0_From_Review_408,3,-77,FC(F)(F)C(F)(S)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane-2-thiol",CDCl3
2_From_Review_408,3,-77,FC(F)(F)C(F)(S)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane-2-thiol",CDCl3
3_From_Review_408,3,-77,FC(F)(F)C(F)(S)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane-2-thiol",CDCl3
5_From_Review_408,1,-147,FC(F)(F)C(F)(S)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane-2-thiol",CDCl3
8_From_Review_408,3,-77,FC(F)(F)C(F)(S)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane-2-thiol",CDCl3
9_From_Review_408,3,-77,FC(F)(F)C(F)(S)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane-2-thiol",CDCl3
10_From_Review_408,3,-77,FC(F)(F)C(F)(S)C(F)(F)F,"1,1,1,2,3,3,3-heptafluoropropane-2-thiol",CDCl3
0_From_Review_409,3,-71,FC(F)(F)C(F)(SCc1ccccc1)C(F)(F)F,benzyl(perfluoropropan-2-yl)sulfane,CDCl3
2_From_Review_409,3,-71,FC(F)(F)C(F)(SCc1ccccc1)C(F)(F)F,benzyl(perfluoropropan-2-yl)sulfane,CDCl3
3_From_Review_409,3,-71,FC(F)(F)C(F)(SCc1ccccc1)C(F)(F)F,benzyl(perfluoropropan-2-yl)sulfane,CDCl3
5_From_Review_409,1,-153,FC(F)(F)C(F)(SCc1ccccc1)C(F)(F)F,benzyl(perfluoropropan-2-yl)sulfane,CDCl3
15_From_Review_409,3,-71,FC(F)(F)C(F)(SCc1ccccc1)C(F)(F)F,benzyl(perfluoropropan-2-yl)sulfane,CDCl3
16_From_Review_409,3,-71,FC(F)(F)C(F)(SCc1ccccc1)C(F)(F)F,benzyl(perfluoropropan-2-yl)sulfane,CDCl3
17_From_Review_409,3,-71,FC(F)(F)C(F)(SCc1ccccc1)C(F)(F)F,benzyl(perfluoropropan-2-yl)sulfane,CDCl3
13_From_Review_410,1,-173,CCOC(=O)C(C)(C(=O)OCC)C(F)(C(F)(F)F)C(F)(F)F,diethyl 2-methyl-2-(perfluoropropan-2-yl)malonate,CDCl3
15_From_Review_410,3,-70,CCOC(=O)C(C)(C(=O)OCC)C(F)(C(F)(F)F)C(F)(F)F,diethyl 2-methyl-2-(perfluoropropan-2-yl)malonate,CDCl3
16_From_Review_410,3,-70,CCOC(=O)C(C)(C(=O)OCC)C(F)(C(F)(F)F)C(F)(F)F,diethyl 2-methyl-2-(perfluoropropan-2-yl)malonate,CDCl3
17_From_Review_410,3,-70,CCOC(=O)C(C)(C(=O)OCC)C(F)(C(F)(F)F)C(F)(F)F,diethyl 2-methyl-2-(perfluoropropan-2-yl)malonate,CDCl3
19_From_Review_410,3,-70,CCOC(=O)C(C)(C(=O)OCC)C(F)(C(F)(F)F)C(F)(F)F,diethyl 2-methyl-2-(perfluoropropan-2-yl)malonate,CDCl3
20_From_Review_410,3,-70,CCOC(=O)C(C)(C(=O)OCC)C(F)(C(F)(F)F)C(F)(F)F,diethyl 2-methyl-2-(perfluoropropan-2-yl)malonate,CDCl3
21_From_Review_410,3,-70,CCOC(=O)C(C)(C(=O)OCC)C(F)(C(F)(F)F)C(F)(F)F,diethyl 2-methyl-2-(perfluoropropan-2-yl)malonate,CDCl3
0_From_Review_411,3,-78,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
2_From_Review_411,3,-78,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
3_From_Review_411,3,-78,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
5_From_Review_411,2,-123,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
6_From_Review_411,2,-123,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
8_From_Review_411,2,-118,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
9_From_Review_411,2,-118,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
11_From_Review_411,2,-85,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
12_From_Review_411,2,-85,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)SCc1ccccc1,benzyl(perfluorobutyl)sulfane,CDCl3
3_From_Review_412,2,-116,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
4_From_Review_412,2,-116,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
6_From_Review_412,2,-123,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
7_From_Review_412,2,-123,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
9_From_Review_412,2,-125,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
10_From_Review_412,2,-125,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
12_From_Review_412,3,-81,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
13_From_Review_412,3,-81,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
14_From_Review_412,3,-81,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"1,1,1,2,2,3,3,4,4-nonafluorohexane",CDCl3
4_From_Review_413,2,-126,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
5_From_Review_413,2,-126,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
7_From_Review_413,2,-123,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
8_From_Review_413,2,-123,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
10_From_Review_413,2,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
11_From_Review_413,2,,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
13_From_Review_413,3,-81,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
14_From_Review_413,3,-81,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
15_From_Review_413,3,-81,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"2,2,3,3,4,4,5,5,5-nonafluoropentanoic acid",CDCl3
0_From_Review_414,3,-81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"1,1,1,2,2,3,3,4,4-nonafluoro-4-iodobutane",CDCl3
2_From_Review_414,3,-81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"1,1,1,2,2,3,3,4,4-nonafluoro-4-iodobutane",CDCl3
3_From_Review_414,3,-81,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"1,1,1,2,2,3,3,4,4-nonafluoro-4-iodobutane",CDCl3
5_From_Review_414,2,-126,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"1,1,1,2,2,3,3,4,4-nonafluoro-4-iodobutane",CDCl3
6_From_Review_414,2,-126,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"1,1,1,2,2,3,3,4,4-nonafluoro-4-iodobutane",CDCl3
8_From_Review_414,2,-114,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,"1,1,1,2,2,3,3,4,4-nonafluoro-4-iodobutane",CDCl3
